StartTime(UTC),EndTime(UTC),Type,Severity
2016-03-24 15:00:00,2016-03-24 17:00:00,Rain,Light
2016-03-24 17:00:00,2016-03-24 17:15:00,Rain,Moderate
2016-03-24 17:15:00,2016-03-24 18:30:00,Rain,Light
2016-03-24 18:30:00,2016-03-24 19:00:00,Rain,Moderate
2016-03-24 19:00:00,2016-03-24 19:15:00,Rain,Heavy
2016-03-24 19:15:00,2016-03-24 20:00:00,Rain,Light
2016-03-24 20:00:00,2016-03-24 21:00:00,Rain,Moderate
2016-03-24 22:45:00,2016-03-24 23:15:00,Rain,Light
2016-03-25 01:30:00,2016-03-25 02:00:00,Snow,Light
2016-03-27 23:15:00,2016-03-28 03:00:00,Rain,Light
2016-03-30 20:00:00,2016-03-30 21:00:00,Rain,Light
2016-03-31 00:00:00,2016-03-31 00:30:00,Rain,Light
2016-03-31 00:30:00,2016-03-31 01:00:00,Rain,Moderate
2016-03-31 01:00:00,2016-03-31 02:15:00,Rain,Light
2016-03-31 02:15:00,2016-03-31 03:30:00,Rain,Moderate
2016-03-31 03:30:00,2016-03-31 08:00:00,Rain,Light
2016-03-31 09:00:00,2016-03-31 10:00:00,Rain,Light
2016-03-31 11:45:00,2016-03-31 12:00:00,Rain,Light
2016-03-31 14:00:00,2016-03-31 15:00:00,Rain,Light
2016-03-31 19:15:00,2016-03-31 20:00:00,Rain,Light
2016-03-31 20:15:00,2016-03-31 20:45:00,Rain,Light
2016-04-01 05:30:00,2016-04-01 06:15:00,Rain,Light
2016-04-01 09:00:00,2016-04-01 11:00:00,Rain,Light
2016-04-01 15:00:00,2016-04-01 16:00:00,Rain,Light
2016-04-01 17:00:00,2016-04-01 18:30:00,Rain,Light
2016-04-02 00:00:00,2016-04-02 01:00:00,Rain,Light
2016-04-02 14:00:00,2016-04-02 16:00:00,Snow,Light
2016-04-02 17:00:00,2016-04-02 17:45:00,Rain,Light
2016-04-02 17:45:00,2016-04-02 18:00:00,Storm,Severe
2016-04-02 18:00:00,2016-04-02 19:00:00,Snow,Light
2016-04-02 19:00:00,2016-04-02 19:30:00,Snow,Light
2016-04-02 20:00:00,2016-04-02 22:00:00,Snow,Light
2016-04-02 22:30:00,2016-04-02 22:30:00,Snow,Light
2016-04-02 23:00:00,2016-04-02 23:15:00,Snow,Light
2016-04-02 23:30:00,2016-04-03 00:00:00,Snow,Light
2016-04-04 02:00:00,2016-04-04 04:00:00,Rain,Light
2016-04-04 05:00:00,2016-04-04 07:00:00,Rain,Light
2016-04-04 18:45:00,2016-04-05 03:00:00,Snow,Light
2016-04-06 01:00:00,2016-04-06 03:00:00,Rain,Light
2016-04-06 10:00:00,2016-04-06 11:00:00,Rain,Light
2016-04-06 14:00:00,2016-04-06 22:00:00,Rain,Light
2016-04-06 23:30:00,2016-04-07 03:00:00,Rain,Light
2016-04-07 03:45:00,2016-04-07 04:15:00,Rain,Light
2016-04-07 05:15:00,2016-04-07 06:45:00,Rain,Light
2016-04-07 07:00:00,2016-04-07 10:00:00,Rain,Light
2016-04-07 12:00:00,2016-04-07 13:00:00,Rain,Light
2016-04-07 14:30:00,2016-04-07 15:00:00,Rain,Light
2016-04-07 16:00:00,2016-04-07 16:15:00,Rain,Light
2016-04-07 18:00:00,2016-04-07 19:00:00,Rain,Light
2016-04-08 14:00:00,2016-04-08 17:00:00,Rain,Light
2016-04-08 18:00:00,2016-04-08 19:00:00,Rain,Light
2016-04-08 20:00:00,2016-04-08 20:45:00,Rain,Light
2016-04-09 04:30:00,2016-04-09 08:00:00,Snow,Light
2016-04-10 07:15:00,2016-04-10 07:15:00,Snow,Light
2016-04-10 08:00:00,2016-04-10 12:00:00,Snow,Light
2016-04-10 12:00:00,2016-04-10 15:00:00,Rain,Light
2016-04-10 19:00:00,2016-04-10 23:00:00,Rain,Light
