StartTime(UTC),EndTime(UTC),Type,Severity
2016-11-28 22:00:00,2016-11-29 03:45:00,Rain,Light
2016-11-29 03:45:00,2016-11-29 04:00:00,Rain,Moderate
2016-11-29 04:00:00,2016-11-29 05:30:00,Rain,Light
2016-11-30 22:00:00,2016-11-30 22:45:00,Rain,Light
2016-12-01 05:00:00,2016-12-01 06:00:00,Rain,Light
2016-12-01 08:00:00,2016-12-01 09:00:00,Snow,Light
2016-12-01 12:00:00,2016-12-01 14:30:00,Rain,Light
2016-12-02 04:30:00,2016-12-02 08:00:00,Rain,Light
2016-12-02 08:00:00,2016-12-02 09:00:00,Rain,Light
2016-12-02 11:00:00,2016-12-02 11:45:00,Rain,Light
2016-12-04 16:00:00,2016-12-04 18:00:00,Snow,Light
2016-12-04 18:00:00,2016-12-04 18:15:00,Snow,Moderate
2016-12-04 19:00:00,2016-12-04 19:15:00,Snow,Heavy
2016-12-04 19:15:00,2016-12-04 19:30:00,Snow,Light
2016-12-04 19:30:00,2016-12-04 20:00:00,Snow,Moderate
2016-12-04 22:00:00,2016-12-04 22:30:00,Snow,Light
2016-12-04 22:30:00,2016-12-04 23:15:00,Snow,Moderate
2016-12-04 23:15:00,2016-12-05 00:00:00,Snow,Light
2016-12-05 00:00:00,2016-12-05 00:30:00,Snow,Moderate
2016-12-05 00:30:00,2016-12-05 01:15:00,Snow,Light
2016-12-08 05:00:00,2016-12-09 05:00:00,Snow,Light
2016-12-09 11:00:00,2016-12-09 21:00:00,Snow,Light
2016-12-10 09:00:00,2016-12-10 10:00:00,Snow,Light
2016-12-10 22:00:00,2016-12-11 01:45:00,Snow,Light
2016-12-11 01:45:00,2016-12-11 02:00:00,Snow,Moderate
2016-12-11 02:00:00,2016-12-11 11:00:00,Snow,Light
2016-12-11 13:00:00,2016-12-11 15:00:00,Snow,Light
2016-12-11 16:45:00,2016-12-11 21:15:00,Snow,Light
2016-12-11 22:00:00,2016-12-12 00:15:00,Snow,Moderate
2016-12-12 01:00:00,2016-12-12 01:30:00,Snow,Moderate
2016-12-12 01:30:00,2016-12-12 02:00:00,Snow,Light
2016-12-12 02:00:00,2016-12-12 02:15:00,Snow,Moderate
2016-12-12 02:15:00,2016-12-12 05:00:00,Snow,Light
2016-12-13 09:00:00,2016-12-13 12:00:00,Snow,Light
2016-12-14 17:00:00,2016-12-14 18:00:00,Snow,Light
2016-12-14 21:00:00,2016-12-14 22:00:00,Snow,Light
2016-12-16 09:00:00,2016-12-16 12:00:00,Snow,Light
2016-12-16 21:45:00,2016-12-17 04:00:00,Snow,Light
2016-12-17 04:45:00,2016-12-17 08:15:00,Rain,Light
2016-12-17 08:15:00,2016-12-17 11:00:00,Snow,Light
2016-12-17 14:45:00,2016-12-17 19:15:00,Rain,Light
2016-12-17 23:00:00,2016-12-18 13:00:00,Snow,Light
2016-12-23 20:15:00,2016-12-23 20:30:00,Hail,Other
2016-12-23 22:00:00,2016-12-23 22:15:00,Rain,Light
2016-12-23 22:15:00,2016-12-23 22:30:00,Hail,Other
2016-12-23 22:30:00,2016-12-23 23:30:00,Rain,Light
2016-12-23 23:30:00,2016-12-23 23:45:00,Hail,Other
2016-12-23 23:45:00,2016-12-24 00:00:00,Snow,Light
2016-12-24 01:30:00,2016-12-24 02:00:00,Hail,Other
2016-12-24 02:00:00,2016-12-24 04:00:00,Rain,Light
2016-12-24 04:00:00,2016-12-24 04:15:00,Hail,Other
2016-12-24 04:15:00,2016-12-24 07:15:00,Rain,Light
2016-12-25 03:00:00,2016-12-25 04:00:00,Rain,Light
2016-12-25 22:00:00,2016-12-26 01:00:00,Rain,Light
2016-12-26 03:00:00,2016-12-26 06:30:00,Rain,Light
2016-12-26 07:30:00,2016-12-26 08:15:00,Rain,Light
2016-12-26 10:00:00,2016-12-26 14:00:00,Rain,Light
2016-12-29 20:00:00,2016-12-29 21:45:00,Snow,Light
2016-12-29 23:00:00,2016-12-30 09:00:00,Snow,Light
2017-01-02 19:00:00,2017-01-02 20:45:00,Rain,Light
2017-01-02 21:00:00,2017-01-03 02:00:00,Rain,Light
2017-01-03 19:00:00,2017-01-03 21:00:00,Rain,Light
2017-01-05 12:00:00,2017-01-05 13:00:00,Snow,Light
2017-01-06 00:00:00,2017-01-06 01:00:00,Snow,Light
2017-01-09 22:15:00,2017-01-10 00:00:00,Snow,Light
2017-01-10 10:00:00,2017-01-10 13:00:00,Rain,Light
2017-01-10 14:00:00,2017-01-10 18:00:00,Rain,Light
2017-01-10 20:00:00,2017-01-10 22:15:00,Rain,Light
2017-01-10 23:00:00,2017-01-11 00:00:00,Storm,Severe
2017-01-11 23:30:00,2017-01-12 00:00:00,Rain,Light
2017-01-12 00:00:00,2017-01-12 00:30:00,Rain,Moderate
2017-01-12 00:30:00,2017-01-12 01:00:00,Rain,Light
2017-01-12 01:00:00,2017-01-12 01:15:00,Rain,Moderate
2017-01-12 01:15:00,2017-01-12 01:45:00,Rain,Light
2017-01-12 01:45:00,2017-01-12 03:00:00,Rain,Moderate
2017-01-12 08:00:00,2017-01-12 11:15:00,Rain,Light
2017-01-12 11:15:00,2017-01-12 11:30:00,Hail,Other
2017-01-12 11:30:00,2017-01-12 13:45:00,Rain,Light
2017-01-16 09:00:00,2017-01-16 10:00:00,Rain,Light
2017-01-16 13:00:00,2017-01-16 14:30:00,Rain,Light
2017-01-16 15:00:00,2017-01-16 18:00:00,Rain,Light
2017-01-16 19:00:00,2017-01-17 00:00:00,Rain,Light
2017-01-17 01:00:00,2017-01-17 02:15:00,Rain,Light
2017-01-17 03:00:00,2017-01-17 04:00:00,Rain,Light
2017-01-17 05:30:00,2017-01-17 06:30:00,Rain,Light
2017-01-17 08:00:00,2017-01-17 08:15:00,Rain,Heavy
2017-01-17 08:15:00,2017-01-17 09:00:00,Rain,Moderate
2017-01-17 09:00:00,2017-01-17 10:00:00,Rain,Light
2017-01-17 22:00:00,2017-01-17 23:00:00,Rain,Light
2017-01-18 00:00:00,2017-01-18 01:30:00,Rain,Light
2017-01-18 04:00:00,2017-01-18 05:00:00,Rain,Light
2017-01-19 23:00:00,2017-01-20 04:00:00,Rain,Light
2017-01-21 04:00:00,2017-01-21 04:30:00,Rain,Light
2017-01-21 08:00:00,2017-01-21 08:15:00,Rain,Light
2017-01-25 01:15:00,2017-01-25 03:00:00,Rain,Light
2017-01-25 08:00:00,2017-01-25 09:45:00,Rain,Light
2017-01-25 18:00:00,2017-01-25 18:15:00,Rain,Light
2017-01-25 19:00:00,2017-01-26 07:00:00,Rain,Light
2017-01-26 07:00:00,2017-01-26 12:45:00,Snow,Light
2017-01-26 14:00:00,2017-01-26 17:00:00,Snow,Light
2017-01-26 19:00:00,2017-01-27 01:00:00,Snow,Light
2017-01-27 05:00:00,2017-01-27 05:45:00,Snow,Light
2017-01-27 06:00:00,2017-01-27 07:00:00,Snow,Light
2017-01-27 10:00:00,2017-01-27 13:00:00,Snow,Light
2017-01-27 16:00:00,2017-01-27 18:00:00,Snow,Light
2017-01-27 19:00:00,2017-01-28 02:00:00,Snow,Light
2017-01-29 03:00:00,2017-01-29 05:00:00,Snow,Light
2017-01-29 15:00:00,2017-01-30 00:00:00,Snow,Light
2017-01-31 07:00:00,2017-01-31 10:00:00,Rain,Light
2017-01-31 11:00:00,2017-01-31 14:00:00,Rain,Light
2017-02-07 00:00:00,2017-02-07 00:30:00,Rain,Light
2017-02-07 01:00:00,2017-02-07 01:30:00,Rain,Light
2017-02-07 02:00:00,2017-02-07 02:30:00,Rain,Light
2017-02-07 07:30:00,2017-02-07 08:00:00,Rain,Light
2017-02-07 09:45:00,2017-02-07 11:45:00,Rain,Light
2017-02-07 11:45:00,2017-02-07 12:00:00,Rain,Moderate
2017-02-07 12:00:00,2017-02-07 13:00:00,Rain,Light
2017-02-07 13:00:00,2017-02-07 13:15:00,Rain,Moderate
2017-02-07 13:15:00,2017-02-07 14:00:00,Rain,Light
2017-02-07 15:15:00,2017-02-07 16:45:00,Rain,Light
2017-02-07 17:00:00,2017-02-07 17:30:00,Rain,Light
2017-02-08 01:00:00,2017-02-08 03:15:00,Rain,Light
2017-02-08 12:00:00,2017-02-08 13:00:00,Snow,Light
2017-02-08 17:00:00,2017-02-08 20:45:00,Snow,Light
2017-02-21 10:00:00,2017-02-21 15:00:00,Rain,Light
2017-02-23 23:00:00,2017-02-24 05:00:00,Rain,Light
2017-02-24 07:15:00,2017-02-24 08:00:00,Rain,Light
2017-02-24 11:30:00,2017-02-24 13:00:00,Rain,Light
2017-02-24 17:30:00,2017-02-24 19:00:00,Rain,Light
2017-02-25 01:15:00,2017-02-25 02:00:00,Rain,Light
2017-02-25 06:00:00,2017-02-25 08:45:00,Snow,Light
2017-02-25 09:30:00,2017-02-25 19:00:00,Snow,Light
2017-02-25 20:00:00,2017-02-25 23:00:00,Snow,Light
2017-02-28 07:00:00,2017-02-28 09:00:00,Rain,Light
2017-02-28 22:00:00,2017-02-28 23:00:00,Rain,Light
2017-02-28 23:00:00,2017-03-01 00:30:00,Rain,Light
2017-03-01 00:45:00,2017-03-01 01:00:00,Rain,Moderate
2017-03-01 01:30:00,2017-03-01 02:45:00,Rain,Light
2017-03-01 02:45:00,2017-03-01 04:00:00,Rain,Moderate
2017-03-01 04:00:00,2017-03-01 05:00:00,Rain,Light
2017-03-01 15:00:00,2017-03-01 16:30:00,Rain,Light
2017-03-01 20:00:00,2017-03-01 23:00:00,Rain,Light
2017-03-01 23:00:00,2017-03-02 00:15:00,Snow,Light
2017-03-02 01:00:00,2017-03-02 02:00:00,Snow,Light
2017-03-02 11:45:00,2017-03-02 13:00:00,Snow,Light
2017-03-02 14:00:00,2017-03-02 15:00:00,Snow,Light
2017-03-02 21:00:00,2017-03-02 22:00:00,Snow,Light
2017-03-02 23:00:00,2017-03-03 01:00:00,Snow,Light
2017-03-04 07:00:00,2017-03-04 09:00:00,Snow,Light
2017-03-04 10:00:00,2017-03-04 11:00:00,Snow,Light
2017-03-05 23:00:00,2017-03-06 00:00:00,Rain,Light
2017-03-06 22:00:00,2017-03-06 22:45:00,Rain,Light
2017-03-07 08:15:00,2017-03-07 09:00:00,Rain,Light
2017-03-07 09:00:00,2017-03-07 09:15:00,Rain,Moderate
2017-03-07 09:15:00,2017-03-07 09:45:00,Rain,Light
2017-03-12 06:15:00,2017-03-12 08:00:00,Snow,Light
2017-03-13 03:45:00,2017-03-13 21:00:00,Snow,Light
2017-03-13 22:00:00,2017-03-14 06:00:00,Snow,Light
2017-03-14 08:00:00,2017-03-14 13:00:00,Snow,Light
2017-03-14 14:30:00,2017-03-14 15:15:00,Snow,Light
2017-03-14 17:00:00,2017-03-14 19:00:00,Snow,Light
2017-03-14 19:45:00,2017-03-14 20:30:00,Snow,Light
2017-03-14 20:45:00,2017-03-14 20:45:00,Snow,Light
2017-03-14 21:15:00,2017-03-14 23:00:00,Snow,Light
2017-03-17 08:00:00,2017-03-17 09:30:00,Rain,Light
2017-03-17 10:30:00,2017-03-17 11:15:00,Rain,Light
2017-03-17 12:00:00,2017-03-17 13:00:00,Rain,Light
2017-03-17 15:00:00,2017-03-17 19:00:00,Rain,Light
2017-03-20 08:15:00,2017-03-20 10:00:00,Rain,Light
2017-03-20 10:00:00,2017-03-20 10:15:00,Rain,Heavy
2017-03-20 10:15:00,2017-03-20 12:00:00,Rain,Light
2017-03-24 01:30:00,2017-03-24 02:15:00,Rain,Light
2017-03-25 01:00:00,2017-03-25 02:00:00,Rain,Light
2017-03-25 02:45:00,2017-03-25 04:00:00,Rain,Moderate
2017-03-25 08:30:00,2017-03-25 16:30:00,Rain,Light
2017-03-25 16:30:00,2017-03-25 18:00:00,Rain,Moderate
2017-03-25 22:45:00,2017-03-26 01:00:00,Rain,Light
2017-03-26 02:00:00,2017-03-26 02:45:00,Rain,Light
2017-03-26 04:00:00,2017-03-26 05:00:00,Rain,Light
2017-03-26 07:00:00,2017-03-26 07:30:00,Rain,Light
2017-03-26 10:00:00,2017-03-26 11:00:00,Rain,Light
2017-03-26 12:00:00,2017-03-26 15:00:00,Rain,Light
2017-03-26 16:00:00,2017-03-26 17:00:00,Rain,Light
2017-03-27 02:15:00,2017-03-27 03:30:00,Rain,Light
2017-03-27 12:30:00,2017-03-27 14:00:00,Rain,Light
2017-03-29 22:00:00,2017-03-30 00:00:00,Rain,Light
2017-03-30 01:00:00,2017-03-30 08:00:00,Rain,Light
2017-03-30 08:00:00,2017-03-30 08:15:00,Rain,Moderate
2017-03-30 10:00:00,2017-03-30 10:30:00,Rain,Light
2017-03-30 10:30:00,2017-03-30 11:00:00,Rain,Moderate
2017-03-30 16:00:00,2017-03-30 17:45:00,Rain,Light
2017-03-30 17:45:00,2017-03-30 18:45:00,Rain,Moderate
2017-03-30 18:45:00,2017-03-30 19:00:00,Rain,Light
2017-03-30 19:00:00,2017-03-30 19:30:00,Rain,Moderate
2017-03-30 19:30:00,2017-03-30 21:00:00,Rain,Heavy
2017-03-30 21:00:00,2017-03-30 21:30:00,Rain,Light
2017-03-31 02:00:00,2017-03-31 02:30:00,Rain,Light
2017-03-31 03:45:00,2017-03-31 13:00:00,Rain,Light
2017-04-03 02:00:00,2017-04-03 04:00:00,Rain,Light
2017-04-03 18:15:00,2017-04-03 20:15:00,Rain,Light
2017-04-03 20:45:00,2017-04-03 21:30:00,Rain,Light
2017-04-03 22:00:00,2017-04-04 00:15:00,Rain,Light
2017-04-04 04:00:00,2017-04-04 05:45:00,Rain,Light
2017-04-04 07:00:00,2017-04-04 09:00:00,Rain,Light
2017-04-04 16:00:00,2017-04-04 17:00:00,Rain,Light
2017-04-05 10:00:00,2017-04-05 14:00:00,Rain,Light
2017-04-05 14:00:00,2017-04-05 16:00:00,Rain,Moderate
2017-04-05 16:00:00,2017-04-05 18:30:00,Rain,Light
2017-04-05 21:00:00,2017-04-06 05:00:00,Rain,Light
2017-04-06 05:00:00,2017-04-06 10:00:00,Rain,Moderate
2017-04-06 10:00:00,2017-04-06 13:30:00,Rain,Light
2017-04-10 14:00:00,2017-04-10 15:00:00,Rain,Light
2017-04-10 19:15:00,2017-04-10 19:30:00,Rain,Light
2017-04-10 19:30:00,2017-04-10 20:00:00,Rain,Moderate
2017-04-10 20:00:00,2017-04-10 21:00:00,Rain,Light
2017-04-10 21:00:00,2017-04-10 22:00:00,Rain,Moderate
2017-04-10 22:00:00,2017-04-10 23:00:00,Rain,Light
2017-04-11 01:00:00,2017-04-11 01:45:00,Rain,Light
2017-04-13 11:00:00,2017-04-13 14:00:00,Rain,Light
2017-04-13 14:00:00,2017-04-13 15:00:00,Rain,Moderate
2017-04-13 15:00:00,2017-04-13 16:00:00,Rain,Light
2017-04-15 02:00:00,2017-04-15 02:45:00,Rain,Light
2017-04-15 02:45:00,2017-04-15 04:00:00,Rain,Moderate
2017-04-16 08:00:00,2017-04-16 10:00:00,Rain,Light
2017-04-16 10:00:00,2017-04-16 11:00:00,Rain,Moderate
2017-04-16 11:00:00,2017-04-16 12:00:00,Rain,Light
2017-04-19 15:00:00,2017-04-19 16:00:00,Rain,Light
2017-04-19 19:00:00,2017-04-19 20:00:00,Rain,Light
2017-04-20 18:00:00,2017-04-20 18:30:00,Rain,Light
2017-04-27 03:00:00,2017-04-27 06:00:00,Rain,Light
2017-04-27 06:00:00,2017-04-27 06:30:00,Rain,Moderate
2017-04-27 06:30:00,2017-04-27 10:45:00,Rain,Light
2017-04-27 11:30:00,2017-04-27 12:30:00,Rain,Light
2017-04-27 12:45:00,2017-04-27 14:00:00,Rain,Light
2017-04-29 09:00:00,2017-04-29 10:00:00,Rain,Light
2017-04-29 18:00:00,2017-04-29 22:00:00,Rain,Light
2017-04-29 22:00:00,2017-04-29 22:15:00,Rain,Moderate
2017-04-29 22:15:00,2017-04-29 22:30:00,Rain,Light
2017-04-29 22:30:00,2017-04-30 00:00:00,Rain,Moderate
2017-04-30 00:00:00,2017-04-30 00:30:00,Rain,Light
2017-04-30 00:30:00,2017-04-30 01:00:00,Rain,Moderate
2017-04-30 01:00:00,2017-04-30 02:00:00,Rain,Heavy
2017-04-30 02:30:00,2017-04-30 03:00:00,Rain,Moderate
2017-04-30 03:00:00,2017-04-30 03:30:00,Rain,Light
2017-04-30 03:30:00,2017-04-30 05:00:00,Rain,Moderate
2017-04-30 05:00:00,2017-04-30 11:00:00,Rain,Light
2017-04-30 12:00:00,2017-04-30 16:00:00,Rain,Light
2017-04-30 17:15:00,2017-04-30 18:00:00,Rain,Light
2017-04-30 18:15:00,2017-04-30 18:45:00,Rain,Light
2017-04-30 23:00:00,2017-05-01 01:45:00,Rain,Light
2017-05-01 01:45:00,2017-05-01 02:00:00,Rain,Heavy
2017-05-01 03:45:00,2017-05-01 04:15:00,Rain,Light
2017-05-01 05:00:00,2017-05-01 05:15:00,Rain,Light
2017-05-01 05:15:00,2017-05-01 05:45:00,Rain,Moderate
2017-05-01 05:45:00,2017-05-01 06:30:00,Rain,Heavy
2017-05-01 06:30:00,2017-05-01 09:00:00,Rain,Light
2017-05-01 20:00:00,2017-05-01 21:00:00,Rain,Light
2017-05-01 21:30:00,2017-05-01 22:00:00,Rain,Light
2017-05-01 23:15:00,2017-05-01 23:30:00,Rain,Light
2017-05-02 00:00:00,2017-05-02 01:00:00,Rain,Light
2017-05-02 02:00:00,2017-05-02 02:30:00,Rain,Light
2017-05-02 03:00:00,2017-05-02 03:30:00,Rain,Light
2017-05-02 09:00:00,2017-05-02 15:00:00,Rain,Light
2017-05-02 22:00:00,2017-05-02 23:00:00,Rain,Light
2017-05-06 08:00:00,2017-05-06 11:00:00,Rain,Light
2017-05-09 04:00:00,2017-05-09 07:00:00,Rain,Light
2017-05-09 10:00:00,2017-05-09 11:00:00,Rain,Light
2017-05-09 11:00:00,2017-05-09 12:00:00,Rain,Moderate
2017-05-09 12:00:00,2017-05-09 16:00:00,Rain,Light
2017-05-10 20:00:00,2017-05-10 23:00:00,Rain,Light
2017-05-11 01:00:00,2017-05-11 02:15:00,Rain,Light
2017-05-11 02:15:00,2017-05-11 04:00:00,Rain,Heavy
2017-05-11 04:00:00,2017-05-11 04:15:00,Rain,Moderate
2017-05-11 04:15:00,2017-05-11 07:00:00,Rain,Light
2017-05-16 05:30:00,2017-05-16 06:15:00,Rain,Light
2017-05-18 06:15:00,2017-05-18 06:45:00,Rain,Light
2017-05-18 06:45:00,2017-05-18 07:00:00,Rain,Moderate
2017-05-18 07:00:00,2017-05-18 07:15:00,Rain,Heavy
2017-05-18 07:15:00,2017-05-18 07:45:00,Rain,Light
2017-05-19 15:30:00,2017-05-19 18:00:00,Rain,Light
2017-05-19 21:00:00,2017-05-20 01:00:00,Rain,Light
2017-05-20 14:00:00,2017-05-20 14:45:00,Rain,Light
2017-05-20 16:00:00,2017-05-20 16:30:00,Rain,Light
2017-05-20 16:30:00,2017-05-20 17:15:00,Rain,Moderate
2017-05-20 17:15:00,2017-05-20 18:00:00,Rain,Light
2017-05-21 10:00:00,2017-05-21 10:30:00,Rain,Light
2017-05-23 04:00:00,2017-05-23 05:00:00,Rain,Light
2017-05-23 15:00:00,2017-05-23 17:00:00,Rain,Light
2017-05-23 18:00:00,2017-05-23 21:00:00,Rain,Light
2017-05-23 22:45:00,2017-05-23 23:15:00,Rain,Light
2017-05-23 23:15:00,2017-05-24 00:00:00,Rain,Moderate
2017-05-24 01:00:00,2017-05-24 02:00:00,Rain,Light
2017-05-24 05:00:00,2017-05-24 10:00:00,Rain,Light
2017-05-24 10:00:00,2017-05-24 11:45:00,Rain,Moderate
2017-05-24 11:45:00,2017-05-24 12:30:00,Rain,Light
2017-05-24 13:30:00,2017-05-24 14:30:00,Rain,Light
2017-05-25 00:00:00,2017-05-25 01:00:00,Rain,Light
2017-05-26 22:00:00,2017-05-26 23:00:00,Rain,Light
2017-05-26 23:00:00,2017-05-27 00:00:00,Rain,Moderate
2017-05-27 00:00:00,2017-05-27 00:30:00,Rain,Light
2017-05-27 00:30:00,2017-05-27 02:00:00,Rain,Moderate
2017-05-27 02:00:00,2017-05-27 03:00:00,Rain,Light
2017-05-28 19:45:00,2017-05-28 20:15:00,Rain,Light
2017-05-31 00:00:00,2017-05-31 01:00:00,Rain,Light
2017-06-09 07:00:00,2017-06-09 08:00:00,Rain,Light
2017-06-13 22:30:00,2017-06-13 22:45:00,Rain,Light
2017-06-13 23:00:00,2017-06-14 00:00:00,Rain,Light
2017-06-14 19:00:00,2017-06-14 19:30:00,Rain,Light
2017-06-14 20:30:00,2017-06-14 20:45:00,Rain,Light
2017-06-14 20:45:00,2017-06-14 21:15:00,Rain,Moderate
2017-06-14 21:15:00,2017-06-14 22:00:00,Rain,Light
2017-06-14 22:30:00,2017-06-14 23:00:00,Rain,Light
2017-06-14 23:00:00,2017-06-14 23:45:00,Rain,Light
2017-06-15 00:00:00,2017-06-15 00:15:00,Rain,Light
2017-06-15 00:15:00,2017-06-15 02:00:00,Rain,Moderate
2017-06-15 02:45:00,2017-06-15 03:15:00,Rain,Light
2017-06-15 06:15:00,2017-06-15 07:15:00,Rain,Light
2017-06-16 08:15:00,2017-06-16 10:00:00,Rain,Light
2017-06-16 13:00:00,2017-06-16 15:00:00,Rain,Light
2017-06-17 12:00:00,2017-06-17 12:15:00,Rain,Light
2017-06-17 22:30:00,2017-06-17 23:00:00,Rain,Light
2017-06-18 03:00:00,2017-06-18 04:30:00,Rain,Light
2017-06-19 20:30:00,2017-06-19 22:00:00,Rain,Light
2017-06-19 22:00:00,2017-06-19 22:00:00,Rain,Moderate
2017-06-19 22:30:00,2017-06-19 22:45:00,Rain,Light
2017-06-19 23:30:00,2017-06-20 00:15:00,Rain,Light
2017-06-20 20:00:00,2017-06-20 21:00:00,Rain,Light
2017-06-20 21:15:00,2017-06-20 22:00:00,Rain,Light
2017-06-20 23:00:00,2017-06-21 00:00:00,Rain,Light
2017-06-22 21:45:00,2017-06-22 23:00:00,Rain,Light
2017-06-23 11:00:00,2017-06-23 11:45:00,Rain,Light
2017-06-23 11:45:00,2017-06-23 12:00:00,Rain,Heavy
2017-06-23 12:00:00,2017-06-23 14:00:00,Rain,Light
2017-06-28 17:00:00,2017-06-28 19:00:00,Rain,Light
2017-06-29 00:00:00,2017-06-29 01:00:00,Rain,Light
2017-06-29 04:00:00,2017-06-29 04:30:00,Rain,Light
2017-06-29 05:00:00,2017-06-29 06:00:00,Rain,Light
2017-06-29 06:00:00,2017-06-29 06:30:00,Rain,Light
2017-06-29 20:00:00,2017-06-29 21:00:00,Rain,Light
2017-06-30 00:00:00,2017-06-30 00:30:00,Rain,Light
2017-06-30 01:30:00,2017-06-30 04:00:00,Rain,Light
2017-06-30 20:00:00,2017-06-30 20:45:00,Rain,Light
2017-06-30 23:00:00,2017-07-01 00:00:00,Rain,Light
2017-07-01 01:00:00,2017-07-01 02:00:00,Rain,Light
2017-07-03 00:15:00,2017-07-03 01:15:00,Rain,Light
2017-07-06 21:30:00,2017-07-06 22:00:00,Rain,Light
2017-07-07 12:00:00,2017-07-07 12:30:00,Rain,Light
2017-07-07 14:00:00,2017-07-07 14:45:00,Rain,Light
2017-07-10 11:00:00,2017-07-10 13:00:00,Rain,Light
2017-07-10 13:00:00,2017-07-10 14:15:00,Rain,Moderate
2017-07-10 14:15:00,2017-07-10 15:00:00,Rain,Light
2017-07-10 22:00:00,2017-07-10 23:00:00,Rain,Light
2017-07-11 22:00:00,2017-07-11 23:00:00,Rain,Light
2017-07-12 04:30:00,2017-07-12 09:00:00,Rain,Light
2017-07-12 14:45:00,2017-07-12 16:30:00,Rain,Light
2017-07-12 16:30:00,2017-07-12 16:45:00,Rain,Moderate
2017-07-12 16:45:00,2017-07-12 17:15:00,Rain,Heavy
2017-07-12 17:15:00,2017-07-12 18:00:00,Rain,Light
2017-07-12 19:00:00,2017-07-12 21:00:00,Rain,Light
2017-07-13 06:00:00,2017-07-13 07:00:00,Rain,Light
2017-07-16 10:00:00,2017-07-16 10:30:00,Rain,Light
2017-07-20 03:45:00,2017-07-20 04:30:00,Rain,Light
2017-07-20 04:30:00,2017-07-20 06:00:00,Rain,Moderate
2017-07-20 06:00:00,2017-07-20 07:00:00,Rain,Light
2017-07-20 11:15:00,2017-07-20 12:00:00,Rain,Light
2017-07-20 12:00:00,2017-07-20 12:15:00,Rain,Moderate
2017-07-20 12:15:00,2017-07-20 13:00:00,Rain,Heavy
2017-07-20 13:00:00,2017-07-20 14:00:00,Rain,Moderate
2017-07-20 14:00:00,2017-07-20 14:15:00,Rain,Light
2017-07-20 14:15:00,2017-07-20 15:00:00,Rain,Heavy
2017-07-21 23:00:00,2017-07-21 23:45:00,Rain,Light
2017-07-22 02:15:00,2017-07-22 02:30:00,Rain,Light
2017-07-22 02:30:00,2017-07-22 02:45:00,Rain,Moderate
2017-07-22 02:45:00,2017-07-22 03:00:00,Rain,Heavy
2017-07-22 03:00:00,2017-07-22 03:15:00,Rain,Light
2017-07-22 03:15:00,2017-07-22 04:30:00,Rain,Moderate
2017-07-22 04:30:00,2017-07-22 10:00:00,Rain,Light
2017-07-22 10:00:00,2017-07-22 10:15:00,Rain,Moderate
2017-07-22 10:15:00,2017-07-22 12:00:00,Rain,Light
2017-07-22 12:00:00,2017-07-22 13:00:00,Rain,Moderate
2017-07-22 13:00:00,2017-07-22 14:00:00,Rain,Light
2017-07-23 23:00:00,2017-07-24 01:00:00,Rain,Light
2017-07-27 06:00:00,2017-07-27 08:00:00,Rain,Light
2017-08-01 20:45:00,2017-08-01 22:15:00,Rain,Light
2017-08-03 00:30:00,2017-08-03 01:00:00,Rain,Light
2017-08-03 01:30:00,2017-08-03 02:30:00,Rain,Light
2017-08-03 02:30:00,2017-08-03 03:00:00,Rain,Light
2017-08-03 19:00:00,2017-08-03 19:30:00,Rain,Light
2017-08-03 19:45:00,2017-08-03 20:30:00,Rain,Light
2017-08-03 21:00:00,2017-08-03 21:45:00,Rain,Light
2017-08-04 03:15:00,2017-08-04 05:00:00,Rain,Heavy
2017-08-07 17:00:00,2017-08-07 18:00:00,Rain,Light
2017-08-16 23:00:00,2017-08-17 00:00:00,Rain,Light
2017-08-17 12:15:00,2017-08-17 12:30:00,Rain,Light
2017-08-17 12:30:00,2017-08-17 13:00:00,Rain,Moderate
2017-08-17 13:45:00,2017-08-17 15:00:00,Rain,Light
2017-08-21 01:00:00,2017-08-21 02:00:00,Rain,Light
2017-08-21 06:00:00,2017-08-21 07:00:00,Rain,Light
2017-08-22 05:00:00,2017-08-22 05:30:00,Rain,Light
2017-08-22 05:30:00,2017-08-22 06:15:00,Rain,Heavy
2017-08-22 10:15:00,2017-08-22 12:45:00,Rain,Light
2017-08-27 02:00:00,2017-08-27 03:00:00,Rain,Light
2017-08-28 05:00:00,2017-08-28 08:00:00,Rain,Light
2017-08-28 10:00:00,2017-08-28 11:00:00,Rain,Light
2017-08-28 20:45:00,2017-08-28 23:00:00,Rain,Light
2017-08-29 19:00:00,2017-08-29 20:00:00,Rain,Light
2017-09-03 01:30:00,2017-09-03 01:45:00,Rain,Light
2017-09-03 01:45:00,2017-09-03 03:00:00,Rain,Moderate
2017-09-04 21:00:00,2017-09-04 21:30:00,Rain,Light
2017-09-07 21:00:00,2017-09-07 22:00:00,Rain,Light
2017-09-08 11:00:00,2017-09-08 12:00:00,Rain,Light
2017-09-13 14:00:00,2017-09-13 15:00:00,Rain,Light
2017-09-13 21:00:00,2017-09-13 22:00:00,Rain,Light
2017-09-19 07:30:00,2017-09-19 11:00:00,Rain,Light
2017-09-19 15:30:00,2017-09-19 18:00:00,Rain,Light
2017-10-03 16:00:00,2017-10-03 17:00:00,Rain,Light
2017-10-03 17:00:00,2017-10-03 17:45:00,Rain,Moderate
2017-10-03 17:45:00,2017-10-03 18:00:00,Rain,Light
